Ki [nM],pKi,standardized_smiles
3.37,8.47237009912866,O=C1NCc2ccc(OCCCN3CCN(c4cccc5ccc(F)cc45)CC3)cc21
3.49,8.45717457304082,O=C1NCc2cc(F)c(OCCCCN3CCN(c4cccc5cccc(F)c45)CC3)cc21
2.68,8.57186520597121,O=C1NCc2cc(F)c(OCCCN3CCN(c4cccc5ccc(F)cc45)CC3)cc21
11.4,7.943095148663527,O=C1NCc2ccc(OCCCCN3CCN(c4cccc5ccc(F)cc45)CC3)cc21
11.3,7.94692155651658,O=C1NCc2ccc(OCCCN3CCN(c4cccc5cccc(F)c45)CC3)cc21
10.0,8.0,O=C1NCc2cc(F)c(OCCCCN3CCN(c4cccc5ccc(F)cc45)CC3)cc21
38.5,7.414539270491499,O=C1NCc2cc(F)c(OCCCN3CCN(c4cccc5cc(F)ccc45)CC3)cc21
1.83,8.73754891026957,O=C1NCc2ccc(OCCCCN3CCN(c4cccc5cccc(F)c45)CC3)cc21
3.54,8.450996737974211,O=C1NCc2ccc(OCCCN3CCN(c4cccc5cc(F)ccc45)CC3)cc21
13.8,7.860120913598763,O=C1NCc2cc(F)c(OCCCCN3CCN(c4cccc5cc(F)ccc45)CC3)cc21
2.06,8.686132779630846,O=C1NCc2ccc(OCCCN3CCN(c4cccc5ccccc45)CC3)c(Cl)c21
1189.4,5.9246720658367416,Clc1ccc(CON=C(Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1
1274.77,5.89456816561544,OCc1cc(C(O)CNCCCCCCOCCCCc2ccccc2)ccc1O
0.725,9.139661993429007,O=C1NCCN1CCN1CCC(c2cn(-c3ccc(F)cc3)c3ccc(Cl)cc23)CC1
370.0,6.431798275933005,Cc1ccc(N2CCN(Cc3nc4ccccc4[nH]3)CC2)cc1C
100.0,7.0,CN(C)C1Cc2ccccc2C(c2ccccc2)C1
19.95,7.700057099977233,O=C(O)CC1CCN(C2CCC3(Cc4ccccc4Cc4ccccc43)C2)C1
630.96,6.199998172182031,O=C(O)C1C2CN(C3CCC4(Cc5ccccc5Cc5ccccc54)C3)CC21
31.62,7.50003813440381,O=C(O)C12CC1CN(C1CCC3(Cc4ccccc4Cc4ccccc43)C1)C2
15.85,7.79997073344623,O=C(O)C1CN(C2CCC3(Cc4ccccc4Cc4ccccc43)C2)C1
50.12,7.299988937677887,O=C(O)CC1CN(C2CCC3(Cc4ccccc4Cc4ccccc43)C2)C1
50.12,7.299988937677887,O=C(O)C=C1CN(C2CCC3(Cc4ccccc4Cc4ccccc43)C2)C1
398.11,6.399996913372259,O=C(O)C1=CCCN(C2CCC3(Cc4ccccc4Oc4ccccc43)C2)C1
25.12,7.599980364934842,O=C(O)C1=CCN(C2CCC3(Cc4ccccc4Oc4ccccc43)C2)CC1
316.23,6.499996931948306,O=C(O)C1CCN(C2CCC3(Cc4ccccc4Oc4ccccc43)C2)CC1
398.11,6.399996913372259,O=C(O)C1(F)CCN(C2CCC3(Cc4ccccc4Oc4ccccc43)C2)CC1
100.0,7.0,O=C(O)C1CCCN(C2CCC3(Cc4ccccc4Oc4ccccc43)C2)C1
31.62,7.50003813440381,O=C(O)C1CN(C2CCC3(Cc4ccccc4Oc4ccccc43)C2)C1
398.11,6.399996913372259,O=C(O)C1CCN(C2CCC3(C2)C(=O)c2cc(Cl)ccc2Oc2ccccc23)CC1
125.89,6.900008766455316,O=C(O)C1CCN(C2CCC3(C2)C(=O)c2cc(F)ccc2Sc2ccccc23)CC1
63.1,7.199970640755866,O=C(O)C1CCCN(C2CCC3(Cc4ccccc4Cc4ccccc43)C2)C1
630.96,6.199998172182031,O=C(O)CC1CCN(C2CCC3(Cc4ccccc4Cc4ccccc43)C2)CC1
50.12,7.299988937677887,O=C(O)C1(F)CCN(C2CCC3(Cc4ccccc4Cc4ccccc43)C2)CC1
100.0,7.0,O=C(O)C1(O)CCN(C2CCC3(Cc4ccccc4Cc4ccccc43)C2)CC1
39.81,7.400007822415902,CC1(C(=O)O)CCN(C2CCC3(Cc4ccccc4Cc4ccccc43)C2)CC1
79.43,7.100015437450609,O=C(O)C1CCN(C2CCC3(Cc4ccccc4Cc4ccccc43)C2)CC1
79.43,7.100015437450609,O=C(O)C1=CCN(C2CCC3(Cc4ccccc4Cc4ccccc43)C2)CC1
125.89,6.900008766455316,O=C(O)C1=CCCN(C2CCC3(Cc4ccccc4Cc4ccccc43)C2)C1
79.43,7.100015437450609,O=C(O)C1(F)CCCN(C2CCC3(Cc4ccccc4Cc4ccccc43)C2)C1
398.11,6.399996913372259,COC(=O)C1=CCCN(C2CCC3(Cc4ccccc4Cc4ccccc43)C2)C1
3981.07,5.40000018605658,O=C(O)C1=CCCN(C2CCC3(Cc4ccccc4Cc4ccccc43)C2)C1
100.0,7.0,O=C(O)C1CN(C2CCC3(Cc4ccccc4Cc4ccccc43)C2)CCO1
316.23,6.499996931948306,O=C(O)C1CN(C2CCC3(Cc4ccccc4Cc4ccccc43)C2)CCN1
158.49,6.799998134593398,O=C(O)CCNC1CCC2(Cc3ccccc3Cc3ccccc32)C1
1995.26,5.700000503883016,O=C(O)CCNC1CCC2(Cc3ccccc3Cc3ccccc32)C1
12.59,7.899974269892137,CN(C)C1CCC2(Cc3ccccc3Cc3ccccc32)C1
19.95,7.700057099977233,O=C(O)C1CCN(C2CCC3(Cc4ccccc4Cc4ccccc43)C2)C1
12.59,7.899974269892137,CC1(C(=O)O)CCN(C2CCC3(Cc4ccccc4Cc4ccccc43)C2)C1
376.0,6.424812155072339,CNS(=O)(=O)Cc1ccc2[nH]cc(CCN(C)C)c2c1
692.0,6.1598939055432425,Clc1cc(Cl)c(OCC#CI)cc1Cl
106.0,6.97469413473523,CN(C)CCc1c[nH]c2sccc12
276.0,6.559090917934782,CN(C)CCc1c[nH]c2ccsc12
4.0,8.397940008672037,CC1SC2(CCCC2)C(=O)N1CCCCN1CCN(c2csc3cc(F)ccc23)CC1
100.0,7.0,O=C1c2ccccc2C(=O)N1CCCCN1CC=C(c2c[nH]c3ccc(F)cc23)CC1
397.0,6.401209493236885,NCCCN1c2ccccc2CCc2ccccc21
29190.0,4.5347659050119855,O=S(=O)(Nc1cc(Sc2cccc3cccnc23)c(O)c2ccccc12)c1ccc(F)cc1
3866.0,5.412738150307466,O=S1(=O)c2ccccc2N(Cc2ccc(Cl)cc2F)c2ccccc21
2.0,8.698970004336019,CC(N)Cc1c[nH]c2ccc3c(c12)CCCO3
1959.0,5.707965564005264,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1
3.6,8.443697499232712,CC(N)Cc1c[nH]c2ccc3c(c12)CCCO3
